what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1310165117649
java.specification.name,sysinfo,,,"Java Platform API Specification",1310165117649
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310165117650
java.specification.version,sysinfo,,,"1.6",1310165117650
java.vendor,sysinfo,,,"Apple Inc.",1310165117650
java.version,sysinfo,,,"1.6.0_26",1310165117650
java.vm.info,sysinfo,,,"mixed mode",1310165117650
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1310165117650
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1310165117650
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310165117650
java.vm.specification.version,sysinfo,,,"1.0",1310165117650
java.vm.vendor,sysinfo,,,"Apple Inc.",1310165117650
java.vm.version,sysinfo,,,"20.1-b02-384",1310165117650
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310165122371
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310165122387
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1310165122399
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1310165133291
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1310165133310
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1310165133335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310165134656
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1310165151149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310165151155
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1310165151167
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1310165158888
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1310165158908
